Comment,Designator,Footprint,LCSC Part #
1uF 16V,"C1,C3",C_0402_1005Metric,C52923
100nF 10V,"C2,C18",C_0402_1005Metric,C1525
10nF 10V,C4,C_0402_1005Metric,C15195
4.7uF 16V,"C5,C6",C_0603_1608Metric,C19666
10uF,"C9,C10",C_0603_1608Metric,C19702
0.1uF,"C11,C12",C_0603_1608Metric,C14663
10uF 16V,"C15,C17",C_0805_2012Metric,C15850
22pF 50V,C16,C_0603_1608Metric,C1653
LED,D1,LED_0603_1608Metric,C2286
B5819W,"D2,D8",D_SOD-123,C8598
LESD8D3.3CAT5G,D3,D_SOD-882,C172409
WS2812B,D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C52917433
LESD5D5.0CT1G,"D7,D9,D10",D_SOD-523,C2982332
USB4105-GF-A,J2,GCT_USB4105-GF-A,C165948
Loadcell_Pads,J3,External_Cable_Pads_Left,
Power_Sense_Pads,J4,External_Cable_Pads_Right,
SPH4018H2R2MT (2.2uH 2.2A),L1,L_Bourns-SRN4018,C370436
SS8550,Q1,SOT-23,C266595
DMG3415U,Q2,SOT-23,C96616
10kR 1%,"R1,R2,R14",R_0402_1005Metric,C60490
1kR 1%,R3,R_0402_1005Metric,C11702
12kR 1%,R5,R_0402_1005Metric,C25752
8k2R 1%,R6,R_0402_1005Metric,C136971
100R 1%,"R7,R8",R_0402_1005Metric,C25076
100kR 1%,"R9,R15",R_0402_1005Metric,C25741
0R 1%,"R13,R17",R_0402_1005Metric,C17168
22k1R 1%,R16,R_0402_1005Metric,C43473
5k1R 1%,"R18,R19",R_0402_1005Metric,C25905
ESP32-C3-MINI-1,U1,ESP32-C3-MINI-1,C2838502
MCP73831T-2ACI/OT,U2,SOT-23-5,C424093
HX711,U3,SOP-16_3.9x9.9mm_P1.27mm,C43656
MAX17048G+T10,U5,TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,C2682616
SY8088,U6,SOT-23-5,C479072
